"identificativo_rete";"H_data";"H_norm"
371;0,579380164285695;0,579380164285695
372;0; 
375;0,574800555170657;0,16493656314295
376;0;0
377;0;0
378;1;1
379;0,579380164285695;0,579380164285695
380;0,72483409150576;0,40922323189506
382;0;0
383;1;1
384;1;1
385;1,57732438392864;0,833333333333332
386;0,946394630357186;0,75
387;1;1
388;1;1
389;0,630929753571457;0,999999999999999
390;0;0
392;0,602180810265668;0,318144667641655
393;1,26185950714291;0,999999999999996
395;0,526414361668258;0,204123451512535
397;1,46497352071793;1
399;1;1
400;1;1
401;0;0
402;0,630929753571457;0,5
403;0,920619835714305;0,564475467872424
406;0,579380164285695;0,579380164285695
407;0,579380164285695;0,579380164285695
408;1,26185950714291;0,999999999999996
409;1,46497352071793;1
410;0;0
411;0,630929753571457;0,999999999999999
412;1;1
414;1;1
416;0,946394630357186;0,75
417;1,21260161928934;0,82772937677064
418;0,630929753571457;0,999999999999999
419;0,602180810265668;0,318144667641655
420;0,511859507142915;0,405639062229567
421;1;1
422;1;1
423;1,46497352071793;1
425;1,21260161928934;0,82772937677064
426;1,43917355238093;0,719586776190465
428;0;0
429;0,579380164285695;0,579380164285695
430;1,46497352071793;0,69897000433602
431;0;0
432;0;0
433;0,630929753571457;0,999999999999999
434;0,864973520717927;0,590436283308409
435;0,630929753571457;0,27894294565113
437;1,26185950714291;0,999999999999996
439;1,26185950714291;0,999999999999996
440;0;0
441;1,4206198357143;0,87104906425515
442;0,946394630357186;0,75
443;1,09236655656089;0,423578169743383
445;0,914100892018565;0,516078542239789
446;0;0
448;0,946394630357186;0,75
450;0,977180810265668;0,5162649802318
451;1;1
452;1,21030991785715;0,742098128510304
453;0;0
454;0,630929753571457;0,999999999999999
456;1,21260161928934;0,82772937677064
458;1;1
459;0,579380164285695;0,579380164285695
460;1,21030991785715;0,742098128510304
461;0;0
462;1,77124374916142;0,999999999999999
464;0;0
465;0,579380164285695;0,579380164285695
466;1,26185950714291;0,999999999999996
467;0;0
468;1,23608471250003;0,546490490941853
471;1;1
472;1;1
473;1;1
476;1,36005682232151;0,718546354076523
477;1,36005682232151;0,718546354076523
478;2,32820430509534;0,902789006508712
479;1;1
482;0,511859507142915;0,405639062229567
483;2,68378696285995;0,799278310457401
485;0,579380164285695;0,579380164285695
486;1;1
488;0;0
489;1,21030991785715;0,742098128510304
490;0,669591945535779;0,353759374819711
491;0,455485915003595;0,310917507082571
493;1;1
494;0,579380164285695;0,579380164285695
496;0,946394630357186;0,75
497;0,579380164285695;0,579380164285695
498;0,511859507142915;0,405639062229567
499;0,920619835714305;0,564475467872424
