id_sogg;H_norm_sogg
212;0,682606194
213;0,872497487
214;0,180482024
215;0
216;1,425605199
217;0,456555526
218;0,630929754
219;0,16721056
220;0,912713498
221;0
222;2,251629167
223;1,464973521
224;0,256152145
225;0
226;1,338171742
227;0
228;0,235045188
229;1,584962501
230;0
231;0,289690082
232;2,040373394
233;0,355245321
234;Inf
235;0
236;0,864973521
237;1,261859507
238;0,241189974
239;0,33334814
240;0,630929754
241;0
242;2,855388542
243;0,630929754
244;0,692102464
245;0,34295098
246;0,13769159
247;Inf
248;0,774698814
249;0,760964047
250;0,511859507
251;0,320947768
252;2,918295834
253;0,168499431
254;0
255;1,584962501
256;0,235408913
257;0
258;0
259;0
260;0
261;0,395488489
262;1
263;0,1946869
264;0,647685462
265;0,310459011
266;1,386253443
267;0
268;0
269;0,2
270;0
271;0,682606194
272;0,405639062
273;0
274;0,616612394
275;0
276;0
277;0,257155976
278;0,289690082
279;0,918295834
280;2,160964047
281;0,386852807
282;1
283;0,844322477
284;0,960964047
285;1
286;0,441823532
287;Inf
288;0,587265016
289;0,178221217
290;0
291;0,620428404
292;0,276434591
293;1
294;0,811278124
295;0,16188769
296;0,395488489
297;0,630929754
298;0
299;0,940374309
300;0,288983099
301;0,278942946
302;0,240642698
303;0,269716653
304;1,736084713
305;1,842370993
306;0,685475297
307;0
308;0,579380164
309;0
310;0
311;0,139663936
312;1,466977289
313;1,899721832
314;0
315;0,235045188
316;0
317;0
318;0,861353116
319;0
320;1,055552755
321;0,843865027
322;Inf
323;1,392496656
324;0,196561632
325;0,823100476
326;0,652193664
327;2,152675068
328;0
329;2
330;1,633171723
331;0,625814584
332;1,226501635
333;0,471103499
334;0,573902309
335;0,835814923
336;0,516285348
337;3,110306937
338;0,494878736
339;0,621464823
340;0,306238849
341;1,039982564
342;1,243937267
343;0,27643325
344;1,139639955
345;0,282287517
346;0,416734281
347;0,23897442
348;0,35168392
349;0,478212313
350;0,564854356
351;0,276974808
352;0
353;0,43350119
354;0,522026738
355;0,544191652
356;1,360254851
357;0,679095819
358;1,742212752
359;0,212620077
360;0,980293734
361;0,503105803
362;0,45815691
363;0,585033768
364;0,507115443
365;0,580482024
366;0,684926904
367;0,46630398
368;0,588021257
369;0,548976935
370;0,73517521
371;0,378513496
372;0,66554711
373;0,136792118
374;0
375;0,630929754
376;0,353463453
377;0,414472599
378;1
379;0,299875475
380;0,434730205
381;0,420367892
382;0,414062244
383;0,50684642
384;0,297359795
385;Inf
386;0
387;0,729573959
388;1,945527019
389;2,668269116
390;0,224106996
391;0,389918044
392;0,870626225
393;1,732038586
394;0,343027219
395;0,498197878
396;0,439718593
397;0,401018421
398;1,886544923
399;0,095978564
400;Inf
401;1,004817998
402;0,528784885
403;0,904310857
404;0,112786533
405;1,031453646
406;0,116028536
407;0,390011886
408;0,191279708
409;0,477121255
410;0,376697962
411;0
412;0,2
413;0,427978442
414;0,957665371
415;0,413305662
416;0,245558483
417;0
418;0,186366888
419;0,515210161
420;0,524195132
421;0,545187352
422;0,210309918
423;0,780233439
424;1,03954498
425;2,680070561
426;3,217947465
427;0,3833619
428;0,442636202
429;0,408658033
430;1,121423403
431;0,795571403
432;0,660990568
433;0,332027333
434;0,213274795
435;0,619514369
436;2,984234165
