"id_net_sogg";"reg_code"
"808";"11--13"
"809";"01"
"810";"08"
"811";"07"
"812";"09"
"815";"15"
"816";"10"
"817";"16"
"818";"10"
"819";"05"
"820";"10"
"821";"07"
"822";"08"
"823";"19"
"824";"03"
"825";"16"
"826";"01"
"827";"08"
"828";"05"
"829";"09"
"830";"05"
"832";"05--10"
"833";"18"
"834";"15"
"835";"12"
"836";"10"
"837";"12"
"838";"05"
"839";"15"
"840";"09"
"841";"09"
"842";"19"
"843";"12--15"
"844";"15"
"845";"03"
"846";"03--05"
"847";"12"
"848";"08"
"849";"13"
"850";"09"
"851";"06"
"852";"05"
"853";"19"
"854";"09"
"855";"16"
"857";"12"
"858";"05"
"859";"03"
"860";"15"
"861";"03"
"862";"16"
"863";"03--19"
"864";"03"
"865";"01--03"
"866";"03"
"867";"08"
"868";"20"
"869";"03"
"870";"05"
"871";"05"
"872";"06"
"873";"20"
"874";"01"
"875";"12"
"876";"17"
"877";"15"
"879";"19"
"880";"09"
"881";"07"
"882";"03"
"883";"08"
"884";"09"
"885";"12"
"886";"09"
"887";"05"
"888";"15"
"889";"01"
"890";"09"
"891";"09"
"892";"16"
"893";"19"
"894";"08--09"
"895";"06"
"896";"03--08"
"897";"12"
"898";"12"
"899";"01"
"900";"15"
"901";"09"
"902";"07--08"
"903";"12"
"904";"01"
"905";"13"
"906";"10"
"907";"05"
"908";"12"
"909";"01"
"910";"09"
"911";"12"
"912";"03--07--16"
"913";"10--15"
"914";"15"
"916";"09"
"917";"18"
"918";"16"
"919";"12"
"920";"03"
"921";"06"
"922";"07"
"923";"01"
"924";"08"
"925";"17"
"926";"03--16"
"927";"12"
"928";"05"
"929";"01"
"930";"16"
"931";"12"
"932";"09"
"933";"12"
"934";"12"
"935";"12"
"936";"05"
"937";"15"
"938";"04"
"939";"19"
"940";"08--10--12"
"941";"11"
"942";"10"
"943";"10"
"944";"10"
"945";"05"
"946";"07"
"947";"08"
"948";"07"
"949";"19"
"950";"08"
"951";"08--12"
"952";"18"
"953";"18"
"954";"01"
"955";"15"
"956";"09"
"957";"01"
"958";"13"
"959";"19"
"960";"01--03--08"
"961";"06"
"962";"12"
"963";"10"
"964";"12"
"965";"16"
"966";"20"
"967";"15"
"968";"11--13"
"969";"20"
"970";"20"
"971";"15"
"972";"17"
"973";"09"
"974";"20"
"975";"06"
"976";"08--15"
"977";"12--15"
"978";"18"
"979";"05"
"980";"03--08"
"981";"16"
"982";"13"
"983";"20"
"984";"15"
"985";"19"
"986";"20"
"987";"12"
"988";"01"
"989";"19"
"990";"05"
"991";"01--03"
"992";"03--08--12--15--16"
"993";"03"
"994";"12"
"995";"20"
"996";"12"
"997";"09"
"998";"12"
"999";"04"
"1000";"12"
"1001";"15"
"1002";"09"
"1003";"03"
"1004";"18"
"1005";"09"
"1006";"16"
"1007";"10"
"1008";"12"
"1009";"11"
"1010";"15"
"1011";"13--15"
"1012";"13"
"1013";"12"
"1014";"09"
"1015";"03"
"1016";"11"
"1017";"03--16"
"1018";"19"
"1019";"16"
"1020";"09"
"1021";"06"
"1022";"03--08"
"1023";"03"
"1024";"01--03--05--08"
"1025";"06"
"1026";"03--12"
"1027";"08"
"1028";"09"
"1029";"14"
"1030";"03--12"
"1031";"12"
"1032";"09"
"1033";"12"
"1034";"12"
"1035";"15"
"1036";"09"
"1037";"03"
"1038";"08"
"1039";"17"
"1040";"08"
