"id_net";"sector";"d_agr";"d_altro";"d_comm";"d_ind";"d_serv";"d_tur";"d_multi";"sett_code"
394;"3";0;0;1;0;0;0;0;3
395;"6";0;0;0;0;0;1;0;6
396;"3";0;0;1;0;0;0;0;3
397;"3";0;0;1;0;0;0;0;3
398;"6";0;0;0;0;0;1;0;6
399;"3";0;0;1;0;0;0;0;3
400;"3";0;0;1;0;0;0;0;3
401;"4";0;0;0;1;0;0;0;4
402;"4";0;0;0;1;0;0;0;4
403;"3";0;0;1;0;0;0;0;3
404;"4";0;0;0;1;0;0;0;4
405;"5";0;0;0;0;1;0;0;5
406;"6";0;0;0;0;0;1;0;6
407;"3";0;0;1;0;0;0;0;3
408;"6";0;0;0;0;0;1;0;6
409;"1";1;0;0;0;0;0;0;1
410;"3";0;0;1;0;0;0;0;3
411;"3";0;0;1;0;0;0;0;3
412;"4";0;0;0;1;0;0;0;4
413;"3";0;0;1;0;0;0;0;3
414;"3";0;0;1;0;0;0;0;3
415;"3";0;0;1;0;0;0;0;3
416;"3";0;0;1;0;0;0;0;3
417;"5";0;0;0;0;1;0;0;5
418;"3";0;0;1;0;0;0;0;3
419;"6";0;0;0;0;0;1;0;6
420;"6";0;0;0;0;0;1;0;6
421;"3";0;0;1;0;0;0;0;3
422;"1";1;0;0;0;0;0;0;1
423;"1--3--4";0;0;0;0;0;0;1;7
424;"5";0;0;0;0;1;0;0;5
425;"5";0;0;0;0;1;0;0;5
426;"5";0;0;0;0;1;0;0;5
427;"3";0;0;1;0;0;0;0;3
428;"6";0;0;0;0;0;1;0;6
429;"3";0;0;1;0;0;0;0;3
430;"5--6";0;0;0;0;0;0;1;7
431;"5";0;0;0;0;1;0;0;5
432;"1";1;0;0;0;0;0;0;1
433;"6";0;0;0;0;0;1;0;6
434;"3";0;0;1;0;0;0;0;3
435;"6";0;0;0;0;0;1;0;6
436;"5";0;0;0;0;1;0;0;5
437;"5";0;0;0;0;1;0;0;5
438;"3";0;0;1;0;0;0;0;3
439;"3";0;0;1;0;0;0;0;3
440;"3";0;0;1;0;0;0;0;3
441;"6";0;0;0;0;0;1;0;6
442;"3";0;0;1;0;0;0;0;3
443;"3";0;0;1;0;0;0;0;3
444;"3";0;0;1;0;0;0;0;3
445;"6";0;0;0;0;0;1;0;6
446;"3";0;0;1;0;0;0;0;3
447;"3";0;0;1;0;0;0;0;3
448;"1";1;0;0;0;0;0;0;1
449;"3";0;0;1;0;0;0;0;3
450;"5--6";0;0;0;0;0;0;1;7
451;"3";0;0;1;0;0;0;0;3
452;"0";0;0;0;0;0;0;0;0
453;"1";1;0;0;0;0;0;0;1
454;"3";0;0;1;0;0;0;0;3
455;"1";1;0;0;0;0;0;0;1
456;"1";1;0;0;0;0;0;0;1
457;"4";0;0;0;1;0;0;0;4
458;"3";0;0;1;0;0;0;0;3
459;"5";0;0;0;0;1;0;0;5
460;"6";0;0;0;0;0;1;0;6
461;"1";1;0;0;0;0;0;0;1
462;"1";1;0;0;0;0;0;0;1
463;"1";1;0;0;0;0;0;0;1
464;"1";1;0;0;0;0;0;0;1
465;"5";0;0;0;0;1;0;0;5
466;"5";0;0;0;0;1;0;0;5
467;"5";0;0;0;0;1;0;0;5
468;"1";1;0;0;0;0;0;0;1
469;"1";1;0;0;0;0;0;0;1
470;"1";1;0;0;0;0;0;0;1
471;"1";1;0;0;0;0;0;0;1
472;"3";0;0;1;0;0;0;0;3
473;"1";1;0;0;0;0;0;0;1
474;"1";1;0;0;0;0;0;0;1
475;"1";1;0;0;0;0;0;0;1
476;"6";0;0;0;0;0;1;0;6
477;"3";0;0;1;0;0;0;0;3
478;"1";1;0;0;0;0;0;0;1
479;"1";1;0;0;0;0;0;0;1
480;"4";0;0;0;1;0;0;0;4
481;"5";0;0;0;0;1;0;0;5
482;"5";0;0;0;0;1;0;0;5
483;"1";1;0;0;0;0;0;0;1
484;"4";0;0;0;1;0;0;0;4
485;"5";0;0;0;0;1;0;0;5
486;"5";0;0;0;0;1;0;0;5
487;"3--4";0;0;0;0;0;0;1;7
488;"3";0;0;1;0;0;0;0;3
489;"4";0;0;0;1;0;0;0;4
490;"0";0;0;0;0;0;0;0;0
491;"3";0;0;1;0;0;0;0;3
492;"1";1;0;0;0;0;0;0;1
493;"1--5";0;0;0;0;0;0;1;7
494;"1";1;0;0;0;0;0;0;1
495;"1";1;0;0;0;0;0;0;1
496;"1";1;0;0;0;0;0;0;1
497;"4";0;0;0;1;0;0;0;4
498;"1";1;0;0;0;0;0;0;1
499;"1";1;0;0;0;0;0;0;1
500;"5--6";0;0;0;0;0;0;1;7
501;"5";0;0;0;0;1;0;0;5
502;"1";1;0;0;0;0;0;0;1
503;"5";0;0;0;0;1;0;0;5
504;"4";0;0;0;1;0;0;0;4
505;"3";0;0;1;0;0;0;0;3
506;"5";0;0;0;0;1;0;0;5
507;"1";1;0;0;0;0;0;0;1
508;"5";0;0;0;0;1;0;0;5
509;"1";1;0;0;0;0;0;0;1
510;"6";0;0;0;0;0;1;0;6
511;"1--3--4";0;0;0;0;0;0;1;7
512;"1";1;0;0;0;0;0;0;1
513;"5";0;0;0;0;1;0;0;5
514;"5";0;0;0;0;1;0;0;5
515;"4";0;0;0;1;0;0;0;4
516;"0";0;0;0;0;0;0;0;0
517;"1";1;0;0;0;0;0;0;1
518;"5";0;0;0;0;1;0;0;5
519;"1";1;0;0;0;0;0;0;1
520;"5";0;0;0;0;1;0;0;5
521;"4";0;0;0;1;0;0;0;4
522;"5";0;0;0;0;1;0;0;5
523;"4";0;0;0;1;0;0;0;4
524;"4--5";0;0;0;0;0;0;1;7
525;"1";1;0;0;0;0;0;0;1
526;"3--5";0;0;0;0;0;0;1;7
527;"1";1;0;0;0;0;0;0;1
528;"5";0;0;0;0;1;0;0;5
529;"4--5";0;0;0;0;0;0;1;7
530;"5";0;0;0;0;1;0;0;5
531;"4";0;0;0;1;0;0;0;4
532;"5";0;0;0;0;1;0;0;5
533;"5";0;0;0;0;1;0;0;5
534;"4";0;0;0;1;0;0;0;4
535;"4";0;0;0;1;0;0;0;4
536;"4--5";0;0;0;0;0;0;1;7
537;"5";0;0;0;0;1;0;0;5
538;"5";0;0;0;0;1;0;0;5
539;"5";0;0;0;0;1;0;0;5
540;"5";0;0;0;0;1;0;0;5
541;"3";0;0;1;0;0;0;0;3
542;"4";0;0;0;1;0;0;0;4
543;"5";0;0;0;0;1;0;0;5
544;"5";0;0;0;0;1;0;0;5
545;"5";0;0;0;0;1;0;0;5
546;"1";1;0;0;0;0;0;0;1
547;"5";0;0;0;0;1;0;0;5
548;"5";0;0;0;0;1;0;0;5
549;"4";0;0;0;1;0;0;0;4
550;"5";0;0;0;0;1;0;0;5
551;"5";0;0;0;0;1;0;0;5
552;"6";0;0;0;0;0;1;0;6
553;"1";1;0;0;0;0;0;0;1
554;"5";0;0;0;0;1;0;0;5
555;"5";0;0;0;0;1;0;0;5
556;"3--5";0;0;0;0;0;0;1;7
557;"4";0;0;0;1;0;0;0;4
558;"5";0;0;0;0;1;0;0;5
559;"4";0;0;0;1;0;0;0;4
560;"6";0;0;0;0;0;1;0;6
561;"1";1;0;0;0;0;0;0;1
562;"1";1;0;0;0;0;0;0;1
563;"4";0;0;0;1;0;0;0;4
564;"5";0;0;0;0;1;0;0;5
565;"6";0;0;0;0;0;1;0;6
566;"5--6";0;0;0;0;0;0;1;7
567;"4";0;0;0;1;0;0;0;4
568;"5";0;0;0;0;1;0;0;5
569;"0";0;0;0;0;0;0;0;0
570;"4--5";0;0;0;0;0;0;1;7
571;"3";0;0;1;0;0;0;0;3
572;"3--5--6";0;0;0;0;0;0;1;7
573;"1";1;0;0;0;0;0;0;1
574;"5";0;0;0;0;1;0;0;5
575;"3--5";0;0;0;0;0;0;1;7
576;"5";0;0;0;0;1;0;0;5
577;"1";1;0;0;0;0;0;0;1
578;"4";0;0;0;1;0;0;0;4
579;"5";0;0;0;0;1;0;0;5
580;"4";0;0;0;1;0;0;0;4
581;"5";0;0;0;0;1;0;0;5
582;"4";0;0;0;1;0;0;0;4
583;"3";0;0;1;0;0;0;0;3
584;"5";0;0;0;0;1;0;0;5
585;"1";1;0;0;0;0;0;0;1
586;"1";1;0;0;0;0;0;0;1
587;"5";0;0;0;0;1;0;0;5
588;"5";0;0;0;0;1;0;0;5
589;"4";0;0;0;1;0;0;0;4
590;"5";0;0;0;0;1;0;0;5
591;"5";0;0;0;0;1;0;0;5
592;"1--5";0;0;0;0;0;0;1;7
593;"5";0;0;0;0;1;0;0;5
594;"4";0;0;0;1;0;0;0;4
595;"5";0;0;0;0;1;0;0;5
596;"5";0;0;0;0;1;0;0;5
597;"4--5";0;0;0;0;0;0;1;7
598;"5";0;0;0;0;1;0;0;5
599;"4";0;0;0;1;0;0;0;4
600;"3";0;0;1;0;0;0;0;3
601;"5";0;0;0;0;1;0;0;5
602;"3--5";0;0;0;0;0;0;1;7
603;"3";0;0;1;0;0;0;0;3
604;"5";0;0;0;0;1;0;0;5
605;"6";0;0;0;0;0;1;0;6
606;"5";0;0;0;0;1;0;0;5
607;"5";0;0;0;0;1;0;0;5
608;"5";0;0;0;0;1;0;0;5
609;"3--4";0;0;0;0;0;0;1;7
610;"5";0;0;0;0;1;0;0;5
611;"3";0;0;1;0;0;0;0;3
612;"5";0;0;0;0;1;0;0;5
613;"5";0;0;0;0;1;0;0;5
614;"5";0;0;0;0;1;0;0;5
615;"5";0;0;0;0;1;0;0;5
616;"5";0;0;0;0;1;0;0;5
617;"4";0;0;0;1;0;0;0;4
618;"1";1;0;0;0;0;0;0;1
619;"5";0;0;0;0;1;0;0;5
620;"6";0;0;0;0;0;1;0;6
621;"3";0;0;1;0;0;0;0;3
622;"3--4";0;0;0;0;0;0;1;7
623;"5";0;0;0;0;1;0;0;5
624;"4";0;0;0;1;0;0;0;4
625;"1--4";0;0;0;0;0;0;1;7
626;"5";0;0;0;0;1;0;0;5
627;"1";1;0;0;0;0;0;0;1
628;"3";0;0;1;0;0;0;0;3
629;"1";1;0;0;0;0;0;0;1
630;"4";0;0;0;1;0;0;0;4
631;"1";1;0;0;0;0;0;0;1
632;"4";0;0;0;1;0;0;0;4
633;"5";0;0;0;0;1;0;0;5
634;"1--5";0;0;0;0;0;0;1;7
635;"0";0;0;0;0;0;0;0;0
636;"4";0;0;0;1;0;0;0;4
637;"3";0;0;1;0;0;0;0;3
638;"1";1;0;0;0;0;0;0;1
639;"5";0;0;0;0;1;0;0;5
640;"1";1;0;0;0;0;0;0;1
641;"1";1;0;0;0;0;0;0;1
642;"5";0;0;0;0;1;0;0;5
643;"1";1;0;0;0;0;0;0;1
644;"1";1;0;0;0;0;0;0;1
645;"5";0;0;0;0;1;0;0;5
646;"4";0;0;0;1;0;0;0;4
647;"1";1;0;0;0;0;0;0;1
648;"4";0;0;0;1;0;0;0;4
649;"4";0;0;0;1;0;0;0;4
650;"5";0;0;0;0;1;0;0;5
651;"4--6";0;0;0;0;0;0;1;7
652;"5";0;0;0;0;1;0;0;5
653;"5";0;0;0;0;1;0;0;5
654;"1";1;0;0;0;0;0;0;1
655;"5";0;0;0;0;1;0;0;5
656;"4";0;0;0;1;0;0;0;4
