"id_net";"sector"
"149";"ALTRO SETTORE-INDUSTRIA/ARTIGIANATO"
"150";"SERVIZI"
"151";"SERVIZI"
"152";"INDUSTRIA/ARTIGIANATO"
"153";"INDUSTRIA/ARTIGIANATO"
"154";"SERVIZI"
"155";"SERVIZI"
"156";"INDUSTRIA/ARTIGIANATO"
"157";"SERVIZI"
"158";"AGRICOLTURA/PESCA-ALTRO SETTORE-COMMERCIO-TURISMO"
"159";"SERVIZI"
"160";"INDUSTRIA/ARTIGIANATO"
"161";"INDUSTRIA/ARTIGIANATO"
"163";"INDUSTRIA/ARTIGIANATO"
"169";"SERVIZI"
"170";"INDUSTRIA/ARTIGIANATO"
"171";"AGRICOLTURA/PESCA"
"172";"SERVIZI"
"173";"INDUSTRIA/ARTIGIANATO"
"174";"ALTRO SETTORE-SERVIZI"
"176";"SERVIZI"
"177";"SERVIZI"
"180";"INDUSTRIA/ARTIGIANATO"
"182";"INDUSTRIA/ARTIGIANATO"
"183";"INDUSTRIA/ARTIGIANATO"
"186";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"187";"SERVIZI"
"188";"INDUSTRIA/ARTIGIANATO"
"190";"SERVIZI"
"191";"SERVIZI"
"192";"AGRICOLTURA/PESCA"
"194";"SERVIZI"
"195";"INDUSTRIA/ARTIGIANATO"
"196";"INDUSTRIA/ARTIGIANATO"
"198";"INDUSTRIA/ARTIGIANATO"
"199";"AGRICOLTURA/PESCA"
"200";"SERVIZI"
"201";"INDUSTRIA/ARTIGIANATO"
"202";"INDUSTRIA/ARTIGIANATO"
"203";"INDUSTRIA/ARTIGIANATO"
"204";"INDUSTRIA/ARTIGIANATO"
"205";"INDUSTRIA/ARTIGIANATO"
"206";"SERVIZI"
"207";"INDUSTRIA/ARTIGIANATO"
"210";"INDUSTRIA/ARTIGIANATO"
"212";"INDUSTRIA/ARTIGIANATO"
"215";"INDUSTRIA/ARTIGIANATO"
"216";"SERVIZI"
"217";"INDUSTRIA/ARTIGIANATO"
"220";"INDUSTRIA/ARTIGIANATO"
"221";"INDUSTRIA/ARTIGIANATO"
"222";"SERVIZI"
"223";"INDUSTRIA/ARTIGIANATO"
"224";"INDUSTRIA/ARTIGIANATO"
"226";"INDUSTRIA/ARTIGIANATO"
"228";"INDUSTRIA/ARTIGIANATO"
"229";"SERVIZI"
"230";"INDUSTRIA/ARTIGIANATO"
"232";"SERVIZI"
"233";"SERVIZI"
"234";"SERVIZI"
"238";"SERVIZI"
"240";"INDUSTRIA/ARTIGIANATO"
"243";"INDUSTRIA/ARTIGIANATO"
"244";"INDUSTRIA/ARTIGIANATO"
"245";"INDUSTRIA/ARTIGIANATO"
"246";"AGRICOLTURA/PESCA"
"247";"ALTRO SETTORE-COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI"
"248";"SERVIZI"
"249";"SERVIZI"
"250";"INDUSTRIA/ARTIGIANATO"
"251";"INDUSTRIA/ARTIGIANATO"
"253";"SERVIZI"
"254";"INDUSTRIA/ARTIGIANATO"
"255";"INDUSTRIA/ARTIGIANATO"
"256";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"259";"COMMERCIO-SERVIZI-TURISMO"
"260";"INDUSTRIA/ARTIGIANATO"
"261";"SERVIZI"
"262";"INDUSTRIA/ARTIGIANATO"
"263";"ALTRO SETTORE"
"264";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"266";"COMMERCIO"
"267";"INDUSTRIA/ARTIGIANATO"
"268";"INDUSTRIA/ARTIGIANATO"
"269";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"270";"INDUSTRIA/ARTIGIANATO"
"271";"SERVIZI"
"272";"SERVIZI"
"273";"INDUSTRIA/ARTIGIANATO"
"274";"INDUSTRIA/ARTIGIANATO"
"275";"INDUSTRIA/ARTIGIANATO"
"276";"INDUSTRIA/ARTIGIANATO"
"277";"COMMERCIO"
"278";"INDUSTRIA/ARTIGIANATO"
"279";"SERVIZI"
"281";"SERVIZI"
"282";"SERVIZI"
"283";"SERVIZI"
"284";"COMMERCIO"
"285";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"286";"INDUSTRIA/ARTIGIANATO"
"289";"INDUSTRIA/ARTIGIANATO"
"290";"SERVIZI"
"291";"SERVIZI"
"292";"SERVIZI"
"295";"INDUSTRIA/ARTIGIANATO"
"297";"INDUSTRIA/ARTIGIANATO"
"298";"SERVIZI"
"299";"INDUSTRIA/ARTIGIANATO"
"301";"SERVIZI"
"302";"INDUSTRIA/ARTIGIANATO"
"303";"COMMERCIO"
"304";"INDUSTRIA/ARTIGIANATO"
"305";"INDUSTRIA/ARTIGIANATO"
"307";"INDUSTRIA/ARTIGIANATO"
"308";"INDUSTRIA/ARTIGIANATO"
"309";"COMMERCIO-SERVIZI"
"310";"INDUSTRIA/ARTIGIANATO"
